POL o Puerto de origen;NAVIERA FCL;POD o Puerto de destino;DIAS LIBRES;VIGENCIA DESDE ;VIGENCIA HASTA;AGENTE;CONTRATO;TIEMPO DE TRANSITO;MONEDA;20 GP;40 GP;40 HC;40 NOR
NINGBO;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,500.00;1,800.00;1,800.00;
NINGBO;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
NINGBO;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,300.00;1,600.00;1,600.00;
NINGBO;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
NINGBO;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,200.00;1,400.00;1,400.00;
NINGBO;Pacific International Lines;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
SHANGHAI;Wan Hai Lines Ltd.;GUAYAQUIL;18;15/12/2025;21/12/2025;GRAND OCEAN SHIPPING CO.,LTD                                                                        ;GRAN OCEAN - FAK;35-55;DOLAR;1,208.00;1,308.00;1,308.00;
NINGBO;Pacific International Lines;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,200.00;1,400.00;1,400.00;
NINGBO;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,300.00
NINGBO;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,400.00;1,600.00;1,600.00;
QINGDAO;CMA-CGM;POSORJA;21;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,500.00;1,600.00;1,600.00;
QINGDAO;COSCO SHIPPING LINES CO. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
QINGDAO;COSCO SHIPPING LINES CO. LTD.;GUAYAQUIL;17;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,400.00;1,600.00;1,600.00;
QINGDAO;COSCO SHIPPING LINES CO. LTD.;POSORJA;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
QINGDAO;COSCO SHIPPING LINES CO. LTD.;POSORJA;17;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,400.00;1,600.00;1,600.00;
QINGDAO;Maersk A/S trading as Sealand Americas.;POSORJA;14;16/12/2025;22/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;2653381;35-42;DOLAR;;;;1,179.00
QINGDAO;Maersk A/S trading as Sealand Americas.;POSORJA;14;16/12/2025;22/12/2025;ZHEJIANG Q&R SUPPLY CHAIN MANAGEMENT CO LTD                                                         ;QTRANS;30-32;DOLAR;;;;1,250.00
QINGDAO;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,500.00;1,800.00;1,800.00;
QINGDAO;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
QINGDAO;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,300.00;1,600.00;1,600.00;
QINGDAO;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
QINGDAO;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,200.00;1,400.00;1,400.00;
